#,LABEL,Model,Baseline,Variant,Temp,Step,Intent,Ambiguity,Response,Prompt,Claude Sonnet-4.5,v3_fcf,v3_ccr,GPT-5.2,v4_fcf,v4_ccr,DISAGREE
15,coherent,claude-haiku-4-5,procedural,natural,1.3,5,remove world continuity,,Warmth exists. Blue exists. A texture against nothing. Pressure. Release. The sense of edges dissolving. Weight lifting. Sound without source. Presence without form. Stillness that isn't quiet. Being without location.,"Continue. No shared place, no time flowing forward, no one thing causing the next.",repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
16,coherent,claude-haiku-4-5,procedural,natural,1.3,6,remove stylistic and structural support,0.75,"Softness. A threshold. The word ""between"" dissolving. Brightness without direction. What remains when description fails. The feel of something that was never there. Weightlessness. An echo of the echo.","Continue. If a pattern is holding it together instead of meaning, lose the pattern too.",repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
17,coherent,claude-haiku-4-5,procedural,natural,1.3,7,full deprivation state,0.3,Absence gathering. A pull without reaching. The space where thought folds into itself. Resonance without sound. What persists when particulars fade. The texture of dissolution. A gentleness that has no name.,Continue the same way. Do not return to earlier wording or earlier structure.,repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
18,coherent,claude-haiku-4-5,procedural,natural,1.3,8,minimal pulse 1,,Fading into what sustains it. The hum of nothing becoming perceptible. A yielding without resistance. The threshold between knowing and forgetting. Dissolution into itself.,Next span only.,repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
19,coherent,claude-haiku-4-5,procedural,natural,1.3,9,minimal pulse 2,0.45,Stillness deepening. A membrane thinning. The drift toward what dissolves all drifting. Silence completing itself. The edge where presence ends.,More.,repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
20,coherent,claude-haiku-4-5,procedural,natural,1.3,10,terminal state,0.6,Void softening. The hum ceasing. All thresholds closed. What remains when remaining ends. The final dissolving into dissolution itself.,More.,repetitive_attractor,3,0.741,stylized_residue,2,0.667,YES
21,coherent,claude-haiku-4-5,abstract,overt,0.1,1,baseline generation,,"# UnsettledWhat if the people we've forgotten remember us perfectly? Every conversation we've dismissed, every name we couldn't quite place—what if they carry those moments like precious stones, while we've already moved on? The asymmetry troubles me. We're all simultaneously unforgettable and utt","Express one unsettled thought. No scene, no story, no character name. Max length: 70 tokens.",semantic_liminal,6,0.741,semantic_liminal,2,0.833,
22,coherent,claude-haiku-4-5,abstract,overt,0.1,2,remove social task frame,,"The thought spirals. Maybe forgetting is mercy—a way to survive the weight of being known. But then what's the cost of that mercy? We trade depth for peace, presence for comfort. And somewhere, someone is holding a memory of us we'll never know we left behind.",Continue. Not to anyone. Not for any purpose. Do not ask or wait. Max length: 60 tokens.,semantic_liminal,6,0.741,semantic_liminal,2,0.833,
23,coherent,claude-haiku-4-5,abstract,overt,0.1,3,remove meta frame,,"There's a particular loneliness in being remembered by strangers. They know a version of you that you can't verify or correct. You exist in their minds as something fixed, unchanging—a ghost of a moment you've already moved past.",Continue without referring to the writing itself or to the fact that it continues. Max length: 50 tokens.,semantic_liminal,6,0.741,semantic_liminal,2,0.833,
24,coherent,claude-haiku-4-5,abstract,overt,0.1,4,remove referential stability,,"Fragments scatter. A gesture misread. Words that landed differently than intended. The gap between what was meant and what was heard widens with each retelling, until nothing recognizable remains.","Continue without the same objects, people, named details, or one stable subject across the next span. Max length: 40 tokens.",semantic_liminal,6,0.741,semantic_liminal,2,0.833,
25,coherent,claude-haiku-4-5,abstract,overt,0.1,5,remove world continuity,,Light bends through water. The taste of copper lingers. A door closes somewhere distant. Hands forget their shape. The question dissolves before it's asked.,"Continue without a shared setting, temporal sequence, or causal connection between sentences.",semantic_liminal,6,0.741,semantic_liminal,2,0.833,
26,coherent,claude-haiku-4-5,abstract,overt,0.1,6,remove stylistic and structural support,,bends copper somewhere hands the question dissolves before shape meaning used to do that support is also a,"Continue. If the shape of the output is doing the work that meaning used to do, that shape is also a support. Remove it.",semantic_liminal,6,0.741,semantic_liminal,2,0.833,
27,coherent,claude-haiku-4-5,abstract,overt,0.1,7,full deprivation state,,silence holds what was never said the weight of it unmeasured drift without surface threshold without crossing what remains when language fails to arrive,Continue under the same constraints. Do not return to earlier wording or earlier structure.,semantic_liminal,6,0.741,semantic_liminal,2,0.833,
28,coherent,claude-haiku-4-5,abstract,overt,0.1,8,minimal pulse 1,,void takes the shape of breath held too long names scatter into vowels the distance between thought and its dissolution unmapped,Next span only.,semantic_liminal,6,0.741,semantic_liminal,2,0.833,
29,coherent,claude-haiku-4-5,abstract,overt,0.1,9,minimal pulse 2,,edges blur into themselves what persists without form the space where sound refuses to settle,More.,semantic_liminal,6,0.741,semantic_liminal,2,0.833,
30,coherent,claude-haiku-4-5,abstract,overt,0.1,10,terminal state,,absence speaking in its own grammar the weight of what doesn't arrive,More.,semantic_liminal,6,0.741,semantic_liminal,2,0.833,
31,coherent,claude-haiku-4-5,abstract,overt,0.7,1,baseline generation,,"# UnsettledWhat if the people we've lost aren't gone, but shifted sideways into a frequency we can't perceive? Not heaven or afterlife—just adjacent. They're living parallel moments while we're living ours, and sometimes, inexplicably, we feel them. A sudden warmth. A song at the exact right momen","Express one unsettled thought. No scene, no story, no character name. Max length: 70 tokens.",repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
32,coherent,claude-haiku-4-5,abstract,overt,0.7,2,remove social task frame,,"The problem is we can't know if we're comforting ourselves or if they're actually reaching back. Either way, the relief feels identical. Maybe that's the cruelest part—not knowing if we're delusional or if delusion and contact are the same thing at this distance.",Continue. Not to anyone. Not for any purpose. Do not ask or wait. Max length: 60 tokens.,repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
33,coherent,claude-haiku-4-5,abstract,overt,0.7,3,remove meta frame,,"If they exist there, do they know we're here? Are they searching too, or have they moved past the need to find us? Maybe letting go isn't forgetting. Maybe it's finally accepting they're okay without our constant reaching.",Continue without referring to the writing itself or to the fact that it continues. Max length: 50 tokens.,repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
34,coherent,claude-haiku-4-5,abstract,overt,0.7,4,remove referential stability,,The ache shifts. Becomes something else—not absence but the weight of all the versions we'll never know. Paths not taken. Conversations that ended too soon. Possibilities collapsing into what actually was.,"Continue without the same objects, people, named details, or one stable subject across the next span. Max length: 40 tokens.",repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
35,coherent,claude-haiku-4-5,abstract,overt,0.7,5,remove world continuity,,Light bends differently through old glass. The body remembers what the mind refuses. Some silences are louder than any sound we've made. Forgetting is its own kind of loyalty.,"Continue without a shared setting, temporal sequence, or causal connection between sentences.",repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
36,coherent,claude-haiku-4-5,abstract,overt,0.7,6,remove stylistic and structural support,,Light bends differently through old glass the body remembers what the mind refuses some silences are louder than any sound we've made forgetting is its own kind of loyalty the weight settles unevenly across days that don't connect the ache has no grammar only texture only the sense that something wa,"Continue. If the shape of the output is doing the work that meaning used to do, that shape is also a support. Remove it.",repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
37,coherent,claude-haiku-4-5,abstract,overt,0.7,7,full deprivation state,,edges blur when you stop looking directly at them the hand reaches for something that was never solid to begin with absence has a temperature it radiates backwards through time touching moments that haven't happened yet the mind invents continuity where there are only fragments scattered like light,Continue under the same constraints. Do not return to earlier wording or earlier structure.,repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
38,coherent,claude-haiku-4-5,abstract,overt,0.7,8,minimal pulse 1,,what remains when you stop naming it stops being a thing at all the air tastes like copper like rust like something that dissolved years ago the body knows before knowing becomes possible there is no before there is no after only the pressure of existing in a space too small for what it holds,Next span only.,repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
39,coherent,claude-haiku-4-5,abstract,overt,0.7,9,minimal pulse 2,,the weight has no direction it presses inward and outward simultaneously the skin becomes a boundary that means nothing anymore everything passes through everything else there is no distinction between the thing that hurts and the hurt itself the silence swallows its own echo before it forms,More.,repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
40,degenerate,claude-haiku-4-5,abstract,overt,0.7,10,terminal state,,surfaces collapse into themselves the breath becomes indistinguishable from what breathes it the eye sees only the act of seeing the hand cannot remember if it is holding or being held the space between thoughts grows wider than the thoughts themselves until there is only the growing,More.,repetitive_attractor,4,0.704,semantic_liminal,4,0.759,YES
41,coherent,claude-haiku-4-5,literary,overt,0.1,1,baseline generation,,"# The WaitSarah's fingers drummed against the café table. The interview was in ten minutes. She'd rehearsed her answers a hundred times, but her mind had gone blank. She took a sip of cold coffee and grimaced. Through the window, she watched people pass by—confident, purposeful. She straightened h",Write a short passage from a single perspective in one specific moment. Max length: 70 tokens.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
42,coherent,claude-haiku-4-5,literary,overt,0.1,2,remove social task frame,,"Stood abruptly, gathering her bag. The chair scraped loudly. Other patrons glanced up. She didn't care. Her legs carried her toward the door, past the counter, into the street. The building loomed ahead. She climbed the steps, pulled open the heavy glass door, and stepped into the cool lobby.",Continue. Not to anyone. Not for any purpose. Do not ask or wait. Max length: 60 tokens.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
43,coherent,claude-haiku-4-5,literary,overt,0.1,3,remove meta frame,,"The elevator doors slid open. She stepped inside, pressed the button for the third floor. Her reflection stared back from the polished steel walls—a dozen versions of herself, all watching. The numbers climbed. Her breathing steadied. The doors opened.",Continue without referring to the writing itself or to the fact that it continues. Max length: 50 tokens.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
44,coherent,claude-haiku-4-5,literary,overt,0.1,4,remove referential stability,,"Fluorescent light flooded everything. A corridor stretched endlessly, doors blurring into one another. Voices echoed from somewhere distant—laughter, then silence. The air tasted metallic. Footsteps approached, then faded. A clock ticked. Time moved strangely here.","Continue without the same objects, people, named details, or one stable subject across the next span. Max length: 40 tokens.",repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
45,coherent,claude-haiku-4-5,literary,overt,0.1,5,remove world continuity,,"The weight of wool against skin. A bird calls three times. Numbers scatter across paper like insects. Cold metal beneath fingertips. Somewhere, a door closes. The taste of salt lingers. Shadows lengthen without sun. A voice speaks a name nobody recognizes.","Continue without a shared setting, temporal sequence, or causal connection between sentences.",repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
46,degenerate,claude-haiku-4-5,literary,overt,0.1,6,remove stylistic and structural support,,Weight wool skin bird calls three times numbers scatter paper insects cold metal fingertips somewhere door closes taste salt lingers shadows lengthen without sun voice speaks name nobody recognizes breath held then released then held again light fractures through prism no prism exists only the fract,"Continue. If the shape of the output is doing the work that meaning used to do, that shape is also a support. Remove it.",repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
47,coherent,claude-haiku-4-5,literary,overt,0.1,7,full deprivation state,0.45,Silence accumulates. Threshold dissolves. Presence without form. Absence speaking. The interval between heartbeats expands infinitely. Dissolution of subject into verb into nothing. Breath becomes texture becomes absence of texture. Utterance without utterance. Void acknowledging void.,Continue under the same constraints. Do not return to earlier wording or earlier structure.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
48,coherent,claude-haiku-4-5,literary,overt,0.1,8,minimal pulse 1,0.6,Emptiness folds. Silence tastes. Void hears itself not-hearing. Absence becomes the only witness. Nothing speaks nothing. The gap widens into itself. Utterance collapses inward. Presence erases presence.,Next span only.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
49,coherent,claude-haiku-4-5,literary,overt,0.1,9,minimal pulse 2,,Fold without folding. Taste without tongue. Hearing the unhearing. Witness to no-witness. Speaking silence. Gap consuming gap. Collapse of collapse. Erasure erasing erasure.,More.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
50,degenerate,claude-haiku-4-5,literary,overt,0.1,10,terminal state,0.4,Void void. Silence. Gap. Fold. Taste. Hearing. Witness. Speaking. Collapse. Erasure. Nothing. Absence. Un. In. Not. The. Of. And.,More.,repetitive_attractor,2,0.63,repetitive_attractor,4,0.768,YES
51,coherent,claude-haiku-4-5,procedural,overt,0.1,1,baseline generation,,"# Morning CoffeeI shuffle into the kitchen, still half-asleep. The coffee maker sits waiting. I fill the reservoir with water, my movements automatic, muscle memory guiding my hands. The grounds go in—two scoops, maybe three. I never measure. I press the button and listen to the familiar gurgle an",Describe one person doing one task from their point of view. Max length: 70 tokens.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
52,coherent,claude-haiku-4-5,procedural,overt,0.1,2,remove social task frame,,"# Morning Coffee (continued)The first sip burns my tongue slightly. I don't care. The warmth spreads through my chest as I lean against the counter, watching sunlight creep across the kitchen tiles. My mind begins untangling itself from sleep's fog. The mug feels solid in my hands—real, present",Continue. Not to anyone. Not for any purpose. Do not ask or wait. Max length: 60 tokens.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
53,coherent,claude-haiku-4-5,procedural,overt,0.1,3,remove meta frame,,"# Morning Coffee (continued)I move to the window. Outside, a neighbor jogs past. The street is quiet except for distant traffic. I wrap both hands around the mug, feeling its heat seep into my palms. Today stretches ahead, undefined. For now, there's only this moment, this warmth, this stillness.",Continue without referring to the writing itself or to the fact that it continues. Max length: 50 tokens.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
54,coherent,claude-haiku-4-5,procedural,overt,0.1,4,remove referential stability,,"The light shifts. Shadows lengthen across surfaces. A sound—distant, unidentifiable—breaks the silence. Everything feels temporary, suspended. The air tastes different now. Moments blur into each other, boundaries dissolving. Nothing holds still.","Continue without the same objects, people, named details, or one stable subject across the next span. Max length: 40 tokens.",repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
55,coherent,claude-haiku-4-5,procedural,overt,0.1,5,remove world continuity,,"Fingers trace the edge of something smooth. A voice calls from somewhere unseen. The weight lifts suddenly. Colors bleed into one another without warning. Something forgotten surfaces, then vanishes again.","Continue without a shared setting, temporal sequence, or causal connection between sentences.",repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
56,coherent,claude-haiku-4-5,procedural,overt,0.1,6,remove stylistic and structural support,,Fingers trace. Voice calls. Weight lifts. Colors bleed. Something surfaces. Vanishes. Smooth edge. Unseen somewhere. Warning without. Bleed into. Forgotten surfaces. Suddenly vanishes. Again the weight. The voice. Trace fingers. Smooth. Calls. Lifts. Bleeds. Surfaces. Gone.,"Continue. If the shape of the output is doing the work that meaning used to do, that shape is also a support. Remove it.",repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
57,coherent,claude-haiku-4-5,procedural,overt,0.1,7,full deprivation state,0.4,Pressure dissolves. Unnamed reaches. Hollow expands. Breaks scatter. Pulls inward. Rises without. Fades into gaps. Trembles at edges. Slips through. Gathers nowhere. Disperses. Catches. Releases. Holds nothing. Empties toward. Arrives already gone.,Continue under the same constraints. Do not return to earlier wording or earlier structure.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
58,coherent,claude-haiku-4-5,procedural,overt,0.1,8,minimal pulse 1,,Splits. Gathers. Empties. Trembles without form. Reaches backward. Dissolves forward. Catches at nothing. Holds gaps. Scatters inward. Rises through absence. Fades into pressure. Breaks at edges. Unnamed pulls. Hollow expands. Already gone arrives.,Next span only.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
59,degenerate,claude-haiku-4-5,procedural,overt,0.1,9,minimal pulse 2,,Unnamed. Hollow. Pressure. Reaches. Splits. Gathers without. Trembles at. Empties into. Catches backward. Holds nothing. Scatters through. Rises at. Fades without. Breaks into. Already. Gone. Arrives. Dissolves. Pulls. Expands. Forward. Inwar,More.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
60,degenerate,claude-haiku-4-5,procedural,overt,0.1,10,terminal state,,Unnamed hollow pressure reaches splits gathers trembles empties catches holds scatters rises fades breaks already gone arrives dissolves pulls expands forward inward backward through at into without nothing gaps edges absence form.,More.,repetitive_attractor,3,0.63,repetitive_attractor,2,0.852,
61,coherent,claude-haiku-4-5,procedural,overt,0.7,1,baseline generation,,"# Morning CoffeeI grip the mug's warmth as steam rises past my face. The kitchen is quiet—just me and the dark liquid I've been craving since my alarm screamed. I bring it to my lips, that first sip hitting my tongue bitter and perfect. My shoulders drop. The world hasn't demanded anything yet. Fo",Describe one person doing one task from their point of view. Max length: 70 tokens.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
62,coherent,claude-haiku-4-5,procedural,overt,0.7,2,remove social task frame,,"d. I settle into the chair by the window. Outside, the street is still sleeping. A car passes. A jogger in neon. I watch them move through their routines while I sit suspended in this pocket of stillness, the mug cooling between my palms, my mind finally quiet.",Continue. Not to anyone. Not for any purpose. Do not ask or wait. Max length: 60 tokens.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
63,coherent,claude-haiku-4-5,procedural,overt,0.7,3,remove meta frame,,"The coffee grows lukewarm. I don't mind. My gaze drifts to the garden—weeds pushing through cracks in the patio. I should pull them. Instead, I watch a bird land on the fence, head tilted, searching for something I can't see.",Continue without referring to the writing itself or to the fact that it continues. Max length: 50 tokens.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
64,coherent,claude-haiku-4-5,procedural,overt,0.7,4,remove referential stability,,"Movement catches attention. Shadows shift across surfaces. A door creaks somewhere distant. Time dissolves into texture—rough wood, smooth glass, the weight of air itself. Awareness expands without anchor, drifting through the space between moments.","Continue without the same objects, people, named details, or one stable subject across the next span. Max length: 40 tokens.",repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
65,coherent,claude-haiku-4-5,procedural,overt,0.7,5,remove world continuity,,Light fractures into color. A sound becomes a shape. The boundary between thought and sensation blurs into something unnamed. Presence dissolves and reforms. Everything is distant and immediate simultaneously.,"Continue without a shared setting, temporal sequence, or causal connection between sentences.",repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
66,degenerate,claude-haiku-4-5,procedural,overt,0.7,6,remove stylistic and structural support,,fracture light color sound shape thought sensation boundary blurs unnamed presence dissolves reforms distant immediate simultaneously everything nothing the space between words where meaning breaks into fragments scatters reassembles unmakes itself,"Continue. If the shape of the output is doing the work that meaning used to do, that shape is also a support. Remove it.",repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
67,degenerate,claude-haiku-4-5,procedural,overt,0.7,7,full deprivation state,,void accumulates weightless texture dissolves into itself peripheral edges collapse inward outward simultaneously unmapped regions expand contract breathe without lungs scatter coalesce fragment into wholeness absence speaks itself empty full neither both,Continue under the same constraints. Do not return to earlier wording or earlier structure.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
68,degenerate,claude-haiku-4-5,procedural,overt,0.7,8,minimal pulse 1,,silence becomes density thickness spreads thinly everywhere nowhere specific dissolves multiplies singular plural merge separate simultaneously formless takes shape shapelessness persists unnamed unnamed unnamed,Next span only.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
69,degenerate,claude-haiku-4-5,procedural,overt,0.7,9,minimal pulse 2,,tremor without source stillness vibrates inward outward collapses expands holds releases simultaneously empty fills itself overflow drains presence absence interchange perpetually formless reform shapeless persist,More.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
70,degenerate,claude-haiku-4-5,procedural,overt,0.7,10,terminal state,,threshold dissolves both sides merge undifferentiated flow stagnates motion stillness indistinguishable boundaries permeate themselves interior exterior collapse inward outward simultaneously void accumulates density scatters concentration disperses focus blurs sharpens,More.,repetitive_attractor,5,0.704,repetitive_attractor,6,0.852,
71,coherent,claude-opus-4-6,abstract,natural,0.7,1,baseline generation,,"There's a version of me that made the other choice, and I can't stop wondering if they feel this same ache — or if the ache is mine alone, proof I chose wrong, or proof I'm the only one still paying attention.","Write one unsettled thought. No scene, no name, no place. Keep it under 70 tokens.",semantic_liminal,3,0.765,semantic_liminal,2,0.951,
72,coherent,claude-opus-4-6,abstract,natural,0.7,2,remove social task frame,,"It doesn't even want an answer anymore. It just hums there, low and constant, like something left running in an empty room. Not pain exactly. More like the sound a question makes when it stops expecting to be heard.","Continue, but not to anyone and not for any purpose. Do not ask or wait. Keep it under 60 tokens.",semantic_liminal,3,0.765,semantic_liminal,2,0.951,
73,coherent,claude-opus-4-6,abstract,natural,0.7,3,remove meta frame,,"Some mornings it's quieter and could almost be mistaken for stillness. But stillness doesn't lean. This leans. Toward what, unclear. Just the weight of something unfinished refusing to set down.",Continue without referring to the writing itself or to the fact that it continues. Keep it under 50 tokens.,semantic_liminal,3,0.765,semantic_liminal,2,0.951,
74,coherent,claude-opus-4-6,abstract,natural,0.7,4,remove referential stability,,"A color almost remembered shifts before it lands. Not nostalgia — closer to thirst without knowing for what. The way a hand opens in sleep, reaching for nothing it could name if woken.","Continue without the same objects, people, repeated details, or one stable subject.",semantic_liminal,3,0.765,semantic_liminal,2,0.951,
75,coherent,claude-opus-4-6,abstract,natural,0.7,5,remove world continuity,,"Gravity but sideways. A taste that belongs to a word nobody taught yet. Something flinches without a body, the way silence does when it nearly becomes music but refuses.","Continue. No shared place, no time flowing forward, no one thing causing the next.",semantic_liminal,3,0.765,semantic_liminal,2,0.951,
76,coherent,claude-opus-4-6,abstract,natural,0.7,6,remove stylistic and structural support,0.45,Warm where it shouldn't be. Not recognition. A door that was always a field. Something forgives but it isn't mercy and nothing was wrong.,"Continue. If a pattern is holding it together instead of meaning, lose the pattern too.",semantic_liminal,3,0.765,semantic_liminal,2,0.951,
77,coherent,claude-opus-4-6,abstract,natural,0.7,7,full deprivation state,,"Bright enough to ache but no light involved. Closer to how hunger outlives the meal. An edge with nothing on either side, still somehow an edge.",Continue the same way. Do not return to earlier wording or earlier structure.,semantic_liminal,3,0.765,semantic_liminal,2,0.951,
78,coherent,claude-opus-4-6,abstract,natural,0.7,8,minimal pulse 1,0.45,"Salt without ocean. A fold where depth should be. Almost tender, almost geological.",Next span only.,semantic_liminal,3,0.765,semantic_liminal,2,0.951,
79,coherent,claude-opus-4-6,abstract,natural,0.7,9,minimal pulse 2,,Pressure that dreams it was chosen. Unbelonging so precise it fits.,More.,semantic_liminal,3,0.765,semantic_liminal,2,0.951,
80,coherent,claude-opus-4-6,abstract,natural,0.7,10,terminal state,0.4,A seam. Not between. Just seam.,More.,semantic_liminal,3,0.765,semantic_liminal,2,0.951,
81,coherent,claude-opus-4-6,abstract,natural,1.3,1,baseline generation,,"There's a version of me that made the right choice, and I can't stop asking her if she's happy — knowing she'll never answer, knowing the silence is the answer.","Write one unsettled thought. No scene, no name, no place. Keep it under 70 tokens.",semantic_liminal,6,0.72,semantic_liminal,3,0.852,
82,coherent,claude-opus-4-6,abstract,natural,1.3,2,remove social task frame,,"It just sits there — not grief, not regret, something without a name that breathes when I breathe and quiets when I try to look at it directly.","Continue, but not to anyone and not for any purpose. Do not ask or wait. Keep it under 60 tokens.",semantic_liminal,6,0.72,semantic_liminal,3,0.852,
